iter:505 | 5: 0.972272 +i0.000000
iter:506 | 5: 0.972272 +i0.000000
iter:507 | 5: 0.972272 +i0.000000
iter:508 | 5: 0.972272 +i0.000000
iter:509 | 5: 0.972272 +i0.000000
iter:510 | 5: 0.972272 +i0.000000
iter:511 | 5: 0.972272 +i0.000000
iter:512 | 5: 0.972272 +i0.000000
iter:513 | 5: 0.972272 +i0.000000
iter:514 | 5: 0.972272 +i0.000000
iter:515 | 5: 0.972272 +i0.000000
iter:516 | 5: 0.972272 +i0.000000
iter:517 | 5: 0.972272 +i0.000000
iter:518 | 5: 0.972272 +i0.000000
iter:519 | 5: 0.972272 +i0.000000
iter:520 | 5: 0.972272 +i0.000000
iter:521 | 5: 0.972272 +i0.000000
iter:522 | 5: 0.972272 +i0.000000
iter:523 | 5: 0.972272 +i0.000000
iter:524 | 5: 0.972272 +i0.000000
iter:525 | 5: 0.972272 +i0.000000
iter:526 | 5: 0.972272 +i0.000000
iter:527 | 4: -0.088388 +i0.000000
iter:528 | 5: 0.972272 +i0.000000
iter:529 | 5: 0.972272 +i0.000000
iter:530 | 5: 0.972272 +i0.000000
iter:531 | 5: 0.972272 +i0.000000
iter:532 | 5: 0.972272 +i0.000000
iter:533 | 5: 0.972272 +i0.000000
iter:534 | 5: 0.972272 +i0.000000
iter:535 | 5: 0.972272 +i0.000000
iter:536 | 5: 0.972272 +i0.000000
iter:537 | 5: 0.972272 +i0.000000
iter:538 | 5: 0.972272 +i0.000000
iter:539 | 5: 0.972272 +i0.000000
iter:540 | 5: 0.972272 +i0.000000
iter:541 | 5: 0.972272 +i0.000000
iter:542 | 5: 0.972272 +i0.000000
iter:543 | 5: 0.972272 +i0.000000
iter:544 | 5: 0.972272 +i0.000000
iter:545 | 5: 0.972272 +i0.000000
iter:546 | 5: 0.972272 +i0.000000
iter:547 | 5: 0.972272 +i0.000000
iter:548 | 5: 0.972272 +i0.000000
iter:549 | 6: -0.088388 +i0.000000
iter:550 | 5: 0.972272 +i0.000000
iter:551 | 5: 0.972272 +i0.000000
iter:552 | 5: 0.972272 +i0.000000
iter:553 | 5: 0.972272 +i0.000000
iter:554 | 5: 0.972272 +i0.000000
iter:555 | 5: 0.972272 +i0.000000
iter:556 | 5: 0.972272 +i0.000000
iter:557 | 5: 0.972272 +i0.000000
iter:558 | 5: 0.972272 +i0.000000
iter:559 | 5: 0.972272 +i0.000000
iter:560 | 5: 0.972272 +i0.000000
iter:561 | 5: 0.972272 +i0.000000
iter:562 | 5: 0.972272 +i0.000000
iter:563 | 5: 0.972272 +i0.000000
iter:564 | 5: 0.972272 +i0.000000
iter:565 | 5: 0.972272 +i0.000000
iter:566 | 5: 0.972272 +i0.000000
iter:567 | 5: 0.972272 +i0.000000
iter:568 | 5: 0.972272 +i0.000000
iter:569 | 5: 0.972272 +i0.000000
iter:570 | 5: 0.972272 +i0.000000
iter:571 | 5: 0.972272 +i0.000000
iter:572 | 5: 0.972272 +i0.000000
iter:573 | 5: 0.972272 +i0.000000
iter:574 | 5: 0.972272 +i0.000000
iter:575 | 5: 0.972272 +i0.000000
iter:576 | 5: 0.972272 +i0.000000
iter:577 | 5: 0.972272 +i0.000000
iter:578 | 5: 0.972272 +i0.000000
iter:579 | 5: 0.972272 +i0.000000
iter:580 | 5: 0.972272 +i0.000000
iter:581 | 5: 0.972272 +i0.000000
iter:582 | 5: 0.972272 +i0.000000
iter:583 | 5: 0.972272 +i0.000000
iter:584 | 5: 0.972272 +i0.000000
iter:585 | 5: 0.972272 +i0.000000
iter:586 | 5: 0.972272 +i0.000000
iter:587 | 5: 0.972272 +i0.000000
iter:588 | 5: 0.972272 +i0.000000
iter:589 | 5: 0.972272 +i0.000000
iter:590 | 5: 0.972272 +i0.000000
iter:591 | 5: 0.972272 +i0.000000
iter:592 | 3: -0.088388 +i0.000000
iter:593 | 5: 0.972272 +i0.000000
iter:594 | 5: 0.972272 +i0.000000
iter:595 | 5: 0.972272 +i0.000000
iter:596 | 5: 0.972272 +i0.000000
iter:597 | 5: 0.972272 +i0.000000
iter:598 | 5: 0.972272 +i0.000000
iter:599 | 5: 0.972272 +i0.000000
iter:600 | 5: 0.972272 +i0.000000
iter:601 | 5: 0.972272 +i0.000000
iter:602 | 5: 0.972272 +i0.000000
iter:603 | 5: 0.972272 +i0.000000
iter:604 | 5: 0.972272 +i0.000000
iter:605 | 5: 0.972272 +i0.000000
iter:606 | 5: 0.972272 +i0.000000
iter:607 | 5: 0.972272 +i0.000000
iter:608 | 5: 0.972272 +i0.000000
iter:609 | 5: 0.972272 +i0.000000
iter:610 | 5: 0.972272 +i0.000000
iter:611 | 5: 0.972272 +i0.000000
iter:612 | 5: 0.972272 +i0.000000
iter:613 | 5: 0.972272 +i0.000000
iter:614 | 5: 0.972272 +i0.000000
iter:615 | 5: 0.972272 +i0.000000
iter:616 | 5: 0.972272 +i0.000000
iter:617 | 5: 0.972272 +i0.000000
iter:618 | 5: 0.972272 +i0.000000
iter:619 | 5: 0.972272 +i0.000000
iter:620 | 5: 0.972272 +i0.000000
iter:621 | 5: 0.972272 +i0.000000
iter:622 | 5: 0.972272 +i0.000000
